year,state,employer,salary_median,rate_year,rate_state,rate_employer,rate
2015,NV,adv,62000,2015,NV,adv,1.0
2016,CA,housecanary,110000,2016,CA,housecanary,1.0
2018,NC,zenmonics,92229,2018,NC,zenmonics,1.0
2016,TX,the methodist hospital,85000,2016,TX,the methodist hospital,1.0
2016,CA,nootrobox,100000,2016,CA,nootrobox,1.0
2016,NY,decisionmapper,60000,2016,NY,decisionmapper,1.0
2015,VA,creative,70000,2015,VA,creative,1.0
2018,GA,omnitrust,78940,2018,GA,omnitrust,0.25
2018,TX,objects,100000,2018,TX,objects,0.5
2015,TX,essonova,68000,2015,TX,essonova,1.0
2016,CA,plex,135000,2016,CA,plex,1.0
2013,CA,mitsubachiworks,79789,2013,CA,mitsubachiworks,1.0
2016,NJ,siri,68000,2016,NJ,siri,1.0
2015,CA,kvana,93999,2015,CA,kvana,1.0
2016,NJ,the burgiss,50752,2016,NJ,the burgiss,1.0
2017,MA,management,100000,2017,MA,management,1.0
2016,CA,mindsource,102000,2016,CA,mindsource,0.5
2017,CA,escalon,122533,2017,CA,escalon,1.0
2019,NJ,cat,75130,2019,NJ,cat,0.125
2015,AZ,electronic payment providers,90000,2015,AZ,electronic payment providers,1.0
2016,CA,gs,102000,2016,CA,gs,1.0
2019,FL,mantech enterprises,74000,2019,FL,mantech enterprises,1.0
2017,CA,super evil megacorp,155000,2017,CA,super evil megacorp,1.0
2019,VA,hanu,61963,2019,VA,hanu,1.0
2014,WI,wonderbox,54000,2014,WI,wonderbox,1.0
2016,NJ,vultus,72000,2016,NJ,vultus,1.0
2018,MI,jrd,78125,2018,MI,jrd,0.08333333333333333
2018,CA,payjoy,115000,2018,CA,payjoy,1.0
2016,NJ,addteq,65000,2016,NJ,addteq,0.5
2016,IL,springsys,66518,2016,IL,springsys,1.0
2017,CA,bastille,120000,2017,CA,bastille,1.0
2015,OH,control,67000,2015,OH,control,1.0
2018,VA,sky,95000,2018,VA,sky,1.0
2015,CA,fixstream,130000,2015,CA,fixstream,1.0
2017,NJ,two95,74000,2017,NJ,two95,1.0
2018,CA,swinerton,90000,2018,CA,swinerton,1.0
2016,WI,arora,75000,2016,WI,arora,1.0
2015,MD,hindsite interactive,63315,2015,MD,hindsite interactive,1.0
2018,NY,xerox,106746,2018,NY,xerox,1.0
2016,CA,standav corp,98987,2016,CA,standav corp,1.0
2016,CA,ebates performance,125000,2016,CA,ebates performance,1.0
2019,CA,dpp tech,108000,2019,CA,dpp tech,1.0
2015,CA,veradox  dba veradocs,130000,2015,CA,veradox  dba veradocs,1.0
2015,CA,frequency,85000,2015,CA,frequency,1.0
2016,MA,evertrue,120000,2016,MA,evertrue,1.0
2019,TX,virtual tech gurus,78000,2019,TX,virtual tech gurus,0.3333333333333333
2017,VA,ven,65000,2017,VA,ven,1.0
2017,CA,say say k,115000,2017,CA,say say k,1.0
2015,CA,elastica,110000,2015,CA,elastica,1.0
2017,CA,innoflexion,60000,2017,CA,innoflexion,1.0
2016,CA,vxi,71510,2016,CA,vxi,1.0
2017,NY,placeiq,120000,2017,NY,placeiq,1.0
2019,VA,vision,84500,2019,VA,vision,1.0
2015,IL,wolverine trading,90000,2015,IL,wolverine trading,1.0
2017,CA,sony pictures television,85000,2017,CA,sony pictures television,1.0
2015,TX,dbspectra,83200,2015,TX,dbspectra,1.0
2019,FL,security 101 s,81016,2019,FL,security 101 s,1.0
2019,NC,ria,77000,2019,NC,ria,1.0
2016,TX,zorbis,73549,2016,TX,zorbis,1.0
2018,CA,entrogen,68340,2018,CA,entrogen,1.0
2016,NY,kim chen agency,35500,2016,NY,kim chen agency,1.0
2017,NY,mindspark interactive,62000,2017,NY,mindspark interactive,1.0
2017,CA,covetit,90000,2017,CA,covetit,1.0
2018,MD,impact analytics,89100,2018,MD,impact analytics,1.0
2018,VA,synchronisys,68000,2018,VA,synchronisys,0.08333333333333333
2019,GA,msys,86400,2019,GA,msys,1.0
2016,MD,teckpros,92061,2016,MD,teckpros,1.0
